NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCR_TAR;PCR;TAR;PERC_PCR_TAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS
ALT CAMP;01;2020-10-06;2020-10-12;No;138.142;2.02143;68.3386;45.5591;20;820.0642;360;0;4.8295;3;0;0
ALT CAMP;01;2020-10-06;2020-10-12;Si;;;206.1855;0.0000;0;412.3711;2;0;0.0000;0;0;0
ALT CAMP;01;2020-10-05;2020-10-11;No;140.729;1.99286;70.6166;45.5591;20;981.7991;431;0;4.5024;4;0;0
ALT CAMP;01;2020-10-05;2020-10-11;Si;;;206.1855;0.0000;0;618.5567;3;0;0.0000;0;0;0
ALT CAMP;01;2020-10-04;2020-10-10;No;127.717;1.93333;66.0607;45.5591;20;988.6329;434;0;4.0000;3;0;0
ALT CAMP;01;2020-10-04;2020-10-10;Si;;;206.1855;0.0000;0;824.7422;4;0;0.0000;0;0;0
ALT CAMP;01;2020-10-03;2020-10-09;No;102.052;1.6;63.7827;43.2811;19;1000.0227;439;0;3.4884;3;0;0
ALT CAMP;01;2020-10-03;2020-10-09;Si;;;206.1855;0.0000;0;824.7422;4;0;0.0000;0;0;0
ALT CAMP;01;2020-10-02;2020-10-08;No;92.9406;1.94286;47.8370;34.1693;15;1034.1921;454;0;2.9083;3;0;0
ALT CAMP;01;2020-10-02;2020-10-08;Si;;;206.1855;0.0000;0;1030.9278;5;0;0.0000;0;0;0
ALT CAMP;01;2020-10-01;2020-10-07;No;84.919;2.19286;38.7252;25.0575;11;1036.4700;455;0;2.2321;3;0;0
ALT CAMP;01;2020-10-01;2020-10-07;Si;;;206.1855;0.0000;0;1030.9278;5;0;0.0000;0;0;0
ALT CAMP;01;2020-09-30;2020-10-06;No;93.2172;2.40714;38.7252;25.0575;11;1100.2528;483;0;2.5210;2;0;0
ALT CAMP;01;2020-09-30;2020-10-06;Si;;;206.1855;0.0000;0;824.7422;4;0;0.0000;0;0;0
ALT CAMP;01;2020-09-29;2020-10-05;No;79.0451;2.47857;31.8913;22.7795;10;1061.5275;466;0;2.1882;2;0;0
ALT CAMP;01;2020-09-29;2020-10-05;Si;;;206.1855;206.1855;1;1030.9278;5;0;25.0000;0;0;0
ALT CAMP;01;2020-09-28;2020-10-04;No;100.067;2.44048;41.0032;25.0575;11;1107.0867;486;0;1.6842;2;0;0
ALT CAMP;01;2020-09-28;2020-10-04;Si;;;206.1855;206.1855;1;1237.1134;6;0;20.0000;0;0;0
ALT CAMP;01;2020-09-27;2020-10-03;No;92.7454;2.2619;41.0032;20.5016;9;1091.1410;479;0;1.7094;2;0;0
ALT CAMP;01;2020-09-27;2020-10-03;Si;;;206.1855;206.1855;1;1030.9278;5;0;25.0000;0;0;0
ALT CAMP;01;2020-09-26;2020-10-02;No;86.3047;1.99405;43.2811;20.5016;9;1097.9748;482;0;1.6985;2;0;0
ALT CAMP;01;2020-09-26;2020-10-02;Si;;;206.1855;206.1855;1;1030.9278;5;0;25.0000;0;0;0
ALT CAMP;01;2020-09-25;2020-10-01;No;62.9285;1.31548;47.8370;13.6677;6;963.5754;423;0;1.4528;2;0;0
ALT CAMP;01;2020-09-25;2020-10-01;Si;;;206.1855;206.1855;1;1237.1134;6;0;16.6667;0;0;0
ALT CAMP;01;2020-09-24;2020-09-30;No;42.2398;0.772619;54.6709;13.6677;6;984.0770;432;0;1.6548;1;0;0
ALT CAMP;01;2020-09-24;2020-09-30;Si;;;206.1855;206.1855;1;1237.1134;6;0;16.6667;0;0;0
ALT CAMP;01;2020-09-23;2020-09-29;No;33.7571;0.463095;72.8945;13.6677;6;959.0195;421;0;1.2077;1;0;0
ALT CAMP;01;2020-09-23;2020-09-29;Si;;;206.1855;206.1855;1;1443.2989;7;0;16.6667;0;0;0
ALT CAMP;01;2020-09-22;2020-09-28;No;18.2942;0.236204;77.4505;9.1118;4;1009.1346;443;0;0.9217;1;0;0
ALT CAMP;01;2020-09-22;2020-09-28;Si;;;0.0000;0.0000;0;1237.1134;6;0;0.0000;0;0;0
ALT CAMP;01;2020-09-21;2020-09-27;No;21.5312;0.248736;86.5623;15.9456;7;956.7416;420;0;1.6867;0;0;0
ALT CAMP;01;2020-09-21;2020-09-27;Si;;;206.1855;0.0000;0;1030.9278;5;0;0.0000;0;0;0
ALT CAMP;01;2020-09-20;2020-09-26;No;31.424;0.363022;86.5623;20.5016;9;954.4636;419;0;2.1739;0;0;0
ALT CAMP;01;2020-09-20;2020-09-26;Si;;;206.1855;0.0000;0;1030.9278;5;0;0.0000;0;0;0
ALT CAMP;01;2020-09-19;2020-09-25;No;47.7219;0.523736;91.1182;22.7795;10;979.5211;430;0;2.3529;1;0;0
ALT CAMP;01;2020-09-19;2020-09-25;Si;;;206.1855;0.0000;0;1030.9278;5;0;0.0000;0;0;0
ALT CAMP;01;2020-09-18;2020-09-24;No;109.552;1.20231;91.1182;34.1693;15;1118.4765;491;0;2.9536;1;0;0
ALT CAMP;01;2020-09-18;2020-09-24;Si;;;206.1855;0.0000;0;9690.7216;47;0;0.0000;0;0;0
ALT CAMP;01;2020-09-17;2020-09-23;No;151.666;1.41659;107.0639;41.0032;18;1134.4221;498;0;3.9749;2;0;0
ALT CAMP;01;2020-09-17;2020-09-23;Si;;;206.1855;0.0000;0;9896.9072;48;0;0.0000;1;0;0
ALT CAMP;01;2020-09-16;2020-09-22;No;180.347;1.61573;111.6198;59.2268;26;1102.5308;484;0;6.0475;2;0;0
ALT CAMP;01;2020-09-16;2020-09-22;Si;;;206.1855;0.0000;0;9690.7216;47;0;0.0000;1;0;0
ALT CAMP;01;2020-09-15;2020-09-21;No;221.669;1.62184;136.6773;68.3386;30;1013.6905;445;0;7.4766;2;0;0
ALT CAMP;01;2020-09-15;2020-09-21;Si;;;206.1855;0.0000;0;9690.7216;47;0;0.0000;1;0;0
ALT CAMP;01;2020-09-14;2020-09-20;No;234.921;1.61138;145.7891;70.6166;31;1004.5786;441;0;7.1259;2;0;0
ALT CAMP;01;2020-09-14;2020-09-20;Si;;;206.1855;206.1855;1;30515.4639;148;0;0.8333;1;0;0
ALT CAMP;01;2020-09-13;2020-09-19;No;213.457;1.51138;141.2332;66.0607;29;1000.0227;439;0;6.6826;2;0;0
ALT CAMP;01;2020-09-13;2020-09-19;Si;;;206.1855;206.1855;1;30515.4639;148;0;0.8333;1;0;0
ALT CAMP;01;2020-09-12;2020-09-18;No;232.946;1.40083;166.2908;68.3386;30;977.2432;429;0;7.8431;1;0;0
ALT CAMP;01;2020-09-12;2020-09-18;Si;;;206.1855;206.1855;1;30515.4639;148;0;0.8333;1;0;0
ALT CAMP;01;2020-09-11;2020-09-17;No;127.373;0.798793;159.4569;56.9489;25;763.1153;335;0;9.2025;1;0;0
ALT CAMP;01;2020-09-11;2020-09-17;Si;;;206.1855;206.1855;1;21855.6701;106;0;0.9524;1;0;0
ALT CAMP;01;2020-09-10;2020-09-16;No;116.954;0.713078;164.0128;66.0607;29;687.9427;302;0;9.8305;0;0;0
ALT CAMP;01;2020-09-10;2020-09-16;Si;;;206.1855;206.1855;1;21649.4845;105;0;0.9615;0;0;0
ALT CAMP;01;2020-09-09;2020-09-15;No;115.018;0.765027;150.3451;52.3929;23;674.2750;296;0;10.0346;0;0;1
ALT CAMP;01;2020-09-09;2020-09-15;Si;;;412.3711;206.1855;1;21649.4845;105;0;0.9615;0;0;0
ALT CAMP;01;2020-09-08;2020-09-14;No;137.95;0.890568;154.9010;68.3386;30;671.9970;295;0;10.4530;1;0;1
ALT CAMP;01;2020-09-08;2020-09-14;Si;;;412.3711;206.1855;1;21649.4845;105;0;0.9615;0;0;0
ALT CAMP;01;2020-09-07;2020-09-13;No;164.774;0.990878;166.2908;75.1725;33;587.7127;258;0;13.8889;4;0;1
ALT CAMP;01;2020-09-07;2020-09-13;Si;;;206.1855;0.0000;0;824.7422;4;0;0.0000;0;0;0
ALT CAMP;01;2020-09-06;2020-09-12;No;184.831;1.08186;170.8467;75.1725;33;599.1024;263;0;14.1176;4;0;1
ALT CAMP;01;2020-09-06;2020-09-12;Si;;;206.1855;0.0000;0;824.7422;4;0;0.0000;0;0;0
ALT CAMP;01;2020-09-05;2020-09-11;No;212.17;1.14988;184.5144;97.9521;43;603.6583;265;0;15.1751;4;0;1
ALT CAMP;01;2020-09-05;2020-09-11;Si;;;206.1855;0.0000;0;824.7422;4;0;0.0000;0;0;0
ALT CAMP;01;2020-09-04;2020-09-10;No;221.68;1.15852;191.3483;102.5080;45;681.1089;299;0;12.8920;4;0;1
ALT CAMP;01;2020-09-04;2020-09-10;Si;;;206.1855;0.0000;0;618.5567;3;0;0.0000;0;0;0
ALT CAMP;01;2020-09-03;2020-09-09;No;230.244;1.07527;214.1278;97.9521;43;726.6680;319;0;12.2977;4;0;1
ALT CAMP;01;2020-09-03;2020-09-09;Si;;;206.1855;0.0000;0;824.7422;4;0;0.0000;0;0;0
ALT CAMP;01;2020-09-02;2020-09-08;No;197.348;0.875087;225.5176;97.9521;43;769.9492;338;0;9.5092;4;0;0
ALT CAMP;01;2020-09-02;2020-09-08;Si;;;206.1855;206.1855;1;17731.9587;86;0;1.1765;0;0;0
ALT CAMP;01;2020-09-01;2020-09-07;No;162.436;0.775087;209.5719;86.5623;38;815.5083;358;0;9.6210;3;0;0
ALT CAMP;01;2020-09-01;2020-09-07;Si;;;206.1855;206.1855;1;17525.7731;85;0;1.1765;0;0;0
ALT CAMP;01;2020-08-31;2020-09-06;No;160.671;0.775087;207.2940;91.1182;40;810.9524;356;0;9.9415;0;0;0
ALT CAMP;01;2020-08-31;2020-09-06;Si;;;206.1855;206.1855;1;17319.5876;84;0;1.1905;0;0;0
ALT CAMP;01;2020-08-30;2020-09-05;No;170.315;0.812681;209.5719;95.6741;42;824.6201;362;0;9.7143;0;0;0
ALT CAMP;01;2020-08-30;2020-09-05;Si;;;206.1855;206.1855;1;17319.5876;84;0;1.1905;0;0;0
ALT CAMP;01;2020-08-29;2020-09-04;No;188.31;0.972545;193.6262;86.5623;38;861.0674;378;0;9.2896;0;0;0
ALT CAMP;01;2020-08-29;2020-09-04;Si;;;206.1855;206.1855;1;17525.7731;85;0;1.1765;0;0;0
ALT CAMP;01;2020-08-28;2020-09-03;No;250.889;1.26595;198.1821;88.8402;39;895.2367;393;0;9.6859;0;0;0
ALT CAMP;01;2020-08-28;2020-09-03;Si;;;206.1855;206.1855;1;17731.9587;86;0;1.1628;0;0;0
ALT CAMP;01;2020-08-27;2020-09-02;No;296.437;1.5492;191.3483;116.1757;51;968.1313;425;0;12.1065;1;0;0
ALT CAMP;01;2020-08-27;2020-09-02;Si;;;206.1855;206.1855;1;17525.7731;85;0;1.1765;0;0;0
ALT CAMP;01;2020-08-26;2020-09-01;No;331.182;1.71042;193.6262;127.5655;56;931.6840;409;0;13.2500;2;0;0
